0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:05 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:05 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 200 23549
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /jeju/img/logo.png HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:59 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:01 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 200 23549
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /jeju/img/logo.png HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:02 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 200 23549
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /jeju/img/logo.png HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:07 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 200 23549
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /jeju/img/logo.png HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:10 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:12 +0900] "GET /jeju/index.bit HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:44 +0900] "GET /jeju/login/elogout.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:16:44 +0900] "GET /jeju/index.bit HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:09 +0900] "GET /jeju/index.bit HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:17 +0900] "GET /jeju/login.bit HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:21 +0900] "POST /jeju/login.bit HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:42 +0900] "POST /jeju/login.bit HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:42 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5009
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:35:49 +0900] "GET /jeju/mypage/infoedit.bit?type=pw HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:36:03 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5009
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:36:06 +0900] "GET /jeju/mypage/study.bit HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:10 +0900] "GET /jeju/login.bit HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:15 +0900] "POST /jeju/login.bit HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:15 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:19 +0900] "GET /jeju/mypage/study.bit HTTP/1.1" 500 1642
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:24 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:33 +0900] "GET /jeju/mypage/study.bit HTTP/1.1" 500 1642
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:38:40 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:41:06 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5133
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:18 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:25 +0900] "GET /jeju/mypage.bit HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:30 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:32 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:34 +0900] "GET /jeju/mypage/study.bit HTTP/1.1" 500 1642
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:35 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:42:51 +0900] "GET /jeju/mypage.bit HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:29:18 +0900] "GET /jeju/mypage/info.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:29:18 +0900] "GET /jeju/login.bit HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:29:28 +0900] "GET /jeju HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:13:29:28 +0900] "GET /jeju/ HTTP/1.1" 200 4695
